,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM1Conv,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
0,Arsenal,Leicester,1830,1802,4,3,H,0,0,0,0,0,0,M,0,10,3,9,12,9,4,0,1,0,0,1.53,4.5,6.5,1,20,1,M,0
1,Brighton,Man City,1696,2013,0,2,A,0,0,0,0,0,0,M,0,2,4,6,9,3,10,0,2,0,0,11,5.5,1.33,18,18,1,M,0
2,Chelsea,Burnley,1885,1711,2,3,A,0,0,0,0,0,0,M,0,6,5,16,11,8,5,3,3,2,0,1.25,6.5,15,6,18,1,M,0
3,Crystal Palace,Huddersfield,1690,1600,0,3,A,0,0,0,0,0,0,M,0,4,6,7,19,12,9,1,3,0,0,1.83,3.6,5,18,18,1,M,0
4,Everton,Stoke,1759,1600,1,0,H,0,0,0,0,0,0,M,0,4,1,13,10,6,7,1,1,0,0,1.7,3.8,5.75,15,18,1,M,0
5,Southampton,Swansea,1693,1600,0,0,D,0,0,0,0,0,0,M,0,2,0,10,13,13,0,2,1,0,0,1.62,4,6.5,11,18,1,M,0
6,Watford,Liverpool,1600,1910,3,3,D,0,0,0,0,0,0,M,0,4,5,14,8,3,3,0,3,0,0,6,4.2,1.62,18,2,1,M,0
7,West Brom,Bournemouth,1624,1600,1,0,H,0,0,0,0,0,0,M,0,6,2,15,3,8,2,3,1,0,0,2.4,3.3,3.3,18,18,1,M,0
8,Man United,West Ham,1600,1804,4,0,H,0,0,0,0,0,0,M,0,6,1,19,7,11,1,2,2,0,0,1.3,5.75,12,3,7,1,M,0
9,Newcastle,Tottenham,1500,1813,0,2,A,0,0,0,0,0,0,M,0,3,6,6,10,5,7,1,2,1,0,5.5,4,1.7,4,9,1,M,0
10,Bournemouth,Watford,1600,1600,0,2,A,0,3,1,3,0,1,L,0,2,7,6,14,8,5,1,3,0,0,2,3.6,4,18,18,2,L,0
11,Burnley,West Brom,1711,1624,0,1,A,3,1,2,0,3,3,W,5,0,1,11,11,5,5,1,0,0,1,2.63,3.2,3,18,18,2,W,5
12,Leicester,Brighton,1802,1696,2,0,H,3,0,4,2,0,0,L,0,4,2,8,10,6,2,1,0,0,0,1.73,3.8,5.5,20,18,2,L,0
13,Liverpool,Crystal Palace,1910,1690,1,0,H,3,0,3,3,1,0,D,3,13,1,12,13,4,2,1,3,0,0,1.36,5.25,9.5,2,18,2,D,3
14,Southampton,West Ham,1693,1804,3,2,H,0,0,0,4,1,0,D,3,5,8,18,10,7,2,1,1,0,1,1.75,3.8,5.25,11,7,2,D,3
15,Stoke,Arsenal,1600,1830,1,0,H,0,4,1,3,0,3,L,0,4,6,6,11,2,9,0,0,0,0,4.5,3.8,1.85,18,1,2,L,0
16,Swansea,Man United,1600,1600,0,4,A,0,4,0,0,1,3,D,3,1,8,12,11,3,5,1,1,0,0,11,5,1.36,18,3,2,D,3
17,Huddersfield,Newcastle,1600,1500,1,0,H,3,0,0,2,3,0,W,5,3,5,13,10,7,3,3,4,0,0,2.5,3.25,3.2,18,4,2,W,5
18,Tottenham,Chelsea,1813,1885,1,2,A,2,2,0,3,3,0,W,5,6,2,14,21,14,3,3,3,0,0,2.1,3.6,3.75,9,6,2,W,5
19,Man City,Everton,2013,1759,1,1,D,2,1,0,0,3,3,W,5,6,2,7,9,7,1,1,2,1,1,1.33,5.75,10,18,15,2,W,5
20,Bournemouth,Man City,1600,2013,1,2,A,0,3,3,1,0,4,L,0,3,8,13,14,2,5,5,4,0,1,11,6,1.3,18,18,3,L,0
21,Crystal Palace,Swansea,1690,1600,0,2,A,0,0,4,4,0,1,L,0,3,3,9,6,1,1,4,1,0,0,1.95,3.5,4.33,18,18,3,L,0
22,Huddersfield,Southampton,1600,1693,0,0,D,4,3,0,2,6,4,W,5,6,3,10,10,5,4,0,1,0,0,3.9,3.4,2.1,18,11,3,W,5
23,Man United,Leicester,1600,1802,2,0,H,8,5,0,4,6,3,W,5,7,4,8,7,9,3,1,2,0,0,1.33,5.5,11,3,20,3,W,5
24,Newcastle,West Ham,1500,1804,3,0,H,0,2,3,7,0,0,L,0,8,3,17,11,7,5,1,3,0,0,2.3,3.4,3.4,4,7,3,L,0
25,Watford,Brighton,1600,1696,0,0,D,5,0,3,4,4,0,W,5,0,2,7,18,3,11,0,1,1,0,1.91,3.4,4,18,18,3,W,5
26,Chelsea,Everton,1885,1759,2,0,H,4,2,4,1,3,4,W,5,7,0,12,7,6,3,2,2,0,0,1.45,4.5,8.5,6,15,3,W,5
27,Liverpool,Arsenal,1910,1830,4,0,H,4,4,3,4,4,3,W,5,10,0,6,9,4,3,2,4,0,0,2.15,3.7,3.5,2,1,3,W,5
28,Tottenham,Burnley,1813,1711,1,1,D,3,3,2,3,3,3,L,0,5,3,9,9,10,7,0,0,0,0,1.25,6.5,15,9,18,3,L,0
29,West Brom,Stoke,1624,1600,1,1,D,2,1,0,1,6,3,W,5,2,2,10,9,10,4,2,2,0,0,2.4,3.1,3.5,18,18,3,W,5
