,HomeTeam,AwayTeam,ELO Home,ELO Away,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HomeTeamLP,AwayTeamLP,MW,HTFormPtsStr,HTFormPts
0,Fulham,Arsenal,1631,1830,0,3,A,0,0,0,0,0,0,M,2,6,12,12,2,3,2,2,0,0,6,4.33,1.53,13,1,1,M,0
1,Crystal Palace,Southampton,1690,1693,1,0,H,0,0,0,0,0,0,M,3,5,14,11,7,3,2,1,0,0,3.1,3.25,2.37,18,11,1,M,0
2,Liverpool,Leeds,1910,1727,4,3,H,0,0,0,0,0,0,M,6,3,9,6,9,0,1,0,0,0,1.28,6,9.5,2,5,1,M,0
3,West Ham,Newcastle,1804,1500,0,2,A,0,0,0,0,0,0,M,3,2,13,7,8,7,2,2,0,0,2.15,3.4,3.4,7,4,1,M,0
4,West Brom,Leicester,1624,1802,0,3,A,0,0,0,0,0,0,M,1,7,12,9,2,5,1,1,0,0,3.8,3.6,1.95,18,20,1,M,0
5,Tottenham,Everton,1813,1759,0,1,A,0,0,0,0,0,0,M,5,4,15,7,5,3,1,0,0,0,1.83,3.6,4.33,9,15,1,M,0
6,Sheffield,Wolves,1602,1757,1,3,A,0,0,0,0,0,0,M,3,5,8,13,4,3,1,0,0,0,5,4.33,1.61,18,18,1,M,0
7,Brighton,Chelsea,1696,1885,0,2,A,0,0,0,0,0,0,M,2,4,13,7,12,5,2,1,0,0,3.25,3.1,2.37,18,6,1,M,0
8,Everton,West Brom,1759,1624,5,2,H,0,0,0,0,0,0,M,7,4,9,11,11,1,1,0,0,1,1.5,4.2,6.5,15,18,1,M,0
9,Leeds,Fulham,1727,1631,4,3,H,0,0,0,0,0,0,M,7,6,13,18,5,3,1,2,0,0,1.61,3.9,5.75,5,13,1,M,0
10,Man Utd,Crystal Palace,1934,1690,1,3,A,1,1,3,0,0,3,L,4,5,13,10,9,3,2,1,0,0,1.3,5.5,9.5,3,18,2,L,0
11,Arsenal,West Ham,1830,1804,2,1,H,3,0,0,2,3,0,W,3,3,11,13,7,5,0,1,0,0,1.53,4.5,5.5,1,7,2,W,3
12,Southampton,Tottenham,1693,1813,2,5,A,0,0,1,1,0,0,L,7,6,16,18,3,2,4,3,0,0,3,3.3,2.37,11,9,2,L,0
13,Newcastle,Brighton,1500,1696,0,3,A,2,0,0,2,3,0,W,0,6,16,15,7,1,3,0,0,1,2.6,3.1,2.87,4,18,2,W,3
14,Chelsea,Liverpool,1885,1910,0,2,A,2,4,0,3,3,3,W,3,6,10,6,1,11,0,0,1,0,3.1,3.6,2.2,6,2,2,W,3
15,Leicester,Burnley,1802,1711,4,2,H,3,2,0,4,3,0,W,6,5,11,13,15,4,1,2,0,0,1.61,4,5.5,20,18,2,W,3
16,Aston Villa,Sheffield,1718,1602,1,0,H,1,1,0,3,3,0,W,2,1,12,13,10,4,3,1,0,1,2.7,3.1,2.75,8,18,2,W,3
17,Wolves,Man City,1757,2013,1,3,A,3,3,1,1,3,3,W,1,9,6,8,4,6,0,3,0,0,6.5,4.33,1.5,18,18,2,W,3
18,Brighton,Man Utd,1696,1934,2,3,A,0,1,2,3,0,0,L,5,3,18,16,7,1,4,2,0,0,4.75,3.75,1.72,18,3,2,L,0
19,Crystal Palace,Everton,1690,1759,1,2,A,1,1,0,0,3,3,W,1,5,16,15,7,6,3,1,0,0,3.75,3.25,2.1,18,15,2,W,3
20,West Brom,Chelsea,1624,1885,3,3,D,2,2,8,2,0,3,L,3,10,8,16,3,9,1,3,0,0,9,4.75,1.36,18,6,3,L,0
21,Burnley,Southampton,1711,1693,0,1,A,2,2,5,6,0,0,L,2,1,8,10,8,2,1,0,0,0,3.2,3.3,2.3,18,11,3,L,0
22,Sheffield,Leeds,1602,1727,0,1,A,1,7,4,7,0,3,L,4,9,18,4,5,7,2,1,0,0,2.7,3.3,2.62,18,5,3,L,0
23,Tottenham,Newcastle,1813,1500,1,1,D,5,2,3,3,3,3,W,12,1,15,9,10,4,1,4,0,0,1.45,4.5,7,9,4,3,W,3
24,Man City,Leicester,2013,1802,2,5,A,5,7,6,2,3,6,L,5,7,13,8,3,4,1,3,0,0,1.28,6,9.5,18,20,3,L,0
25,West Ham,Wolves,1804,1757,4,0,H,1,4,4,4,0,3,L,7,2,7,11,1,3,0,1,0,0,3.6,3.5,2.05,7,18,3,L,0
26,Fulham,Aston Villa,1631,1718,0,3,A,3,4,7,0,0,6,L,3,5,18,14,5,3,6,3,0,0,2.9,3.25,2.5,13,8,3,L,0
27,Liverpool,Arsenal,1910,1830,3,1,H,6,5,3,1,6,6,W,8,3,11,7,7,3,2,2,0,0,1.45,4.75,6.5,2,1,3,W,3
28,Chelsea,Crystal Palace,1885,1690,4,0,H,2,4,2,1,3,6,L,6,0,17,13,8,5,2,0,0,0,1.4,4.75,8,6,18,3,L,0
29,Everton,Brighton,1759,1696,4,2,H,6,3,2,2,6,3,W,6,3,13,14,3,10,0,1,0,0,1.72,3.75,4.8,15,18,3,W,3
30,Leeds,Man City,1727,2013,1,1,D,8,6,7,7,6,4,W,7,2,11,12,7,10,2,1,0,0,7.5,5.25,1.36,5,18,4,W,3
31,Newcastle,Burnley,1500,1711,3,1,H,3,3,4,8,4,0,D,5,3,13,17,3,4,2,3,0,0,2.4,3.2,3.1,4,18,4,D,1
32,Leicester,West Ham,1802,1804,0,3,A,12,5,4,4,9,3,W,0,6,11,8,6,4,2,2,0,0,1.61,4.2,5.25,20,7,4,W,3
33,Southampton,West Brom,1693,1624,2,0,H,3,5,6,11,3,1,W,7,2,19,10,5,1,2,1,0,0,1.72,3.8,4.75,11,18,4,W,3
34,Arsenal,Sheffield,1830,1602,2,1,H,6,1,4,5,6,0,L,5,2,3,9,2,4,0,1,0,0,1.57,4,6,1,18,4,L,0
35,Wolves,Fulham,1757,1631,1,0,H,4,3,8,10,3,0,L,5,2,15,8,6,2,1,1,0,0,1.5,4,7.5,18,13,4,L,0
36,Man Utd,Tottenham,1934,1813,1,6,A,5,6,11,4,3,4,L,2,8,14,10,2,4,2,1,1,0,1.85,3.8,4,3,9,4,L,0
37,Aston Villa,Liverpool,1718,1910,7,2,H,11,9,2,4,9,9,W,11,8,7,10,2,7,2,1,0,0,10,5.5,1.3,8,2,4,W,3
38,Everton,Liverpool,1759,1910,2,2,D,8,9,3,4,9,9,W,5,8,15,9,2,5,3,2,1,0,3.75,4.2,1.83,15,2,4,W,3
39,Chelsea,Southampton,1885,1693,3,3,D,5,3,5,6,4,3,D,5,6,11,9,6,2,1,1,0,0,1.45,4.75,6.5,6,11,4,D,1
