Position,Team,2020,Points,,,,,,,,
1,Man City,1,74,,,,,,,,
2,Man Utd,2,63,,,,,,,,
3,Leicester,3,56,,,,,,,,
4,West Ham,4,55,,,,,,,,
5,Chelsea,5,54,,,,,,,,
6,Liverpool,6,52,,,,,,,,
7,Tottenham,7,49,,,,,,,,
8,Everton,8,48,,,,,,,,
9,Arsenal,9,45,,,,,,,,
10,Leeds,10,45,,,,,,,,
11,Aston Villa,11,44,,,,,,,,
12,Wolves,12,38,,,,,,,,
13,Crystal Palace,13,38,,,,,,,,
14,Southampton,14,36,,,,,,,,
15,Brighton,15,33,,,,,,,,
16,Burnley,16,33,,,,,,,,
17,Newcastle,17,32,,,,,,,,
18,Fulham,18,26,,,,,,,,
19,West Brom,19,24,,,,,,,,
20,Sheffield,20,14,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Wolves,,,20,,,,,,15,17,20
Wimbledon,,,,,,,,,,,
